# Weather station Paderborn / Lippstadt (airport), Germany, METAR=EDLP,selection from 23.01.2019 till 23.11.2019, all days
# Encoding: ANSI
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=EDLP&lang=en
#
"Local time in Paderborn / Lippstadt (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"23.11.2019 15:50";"8.0";"730.9";"750.1";"76";"Wind blowing from the east";"7";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"23.11.2019 15:20";"8.0";"730.9";"750.1";"76";"Wind blowing from the east";"6";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"23.11.2019 14:50";"9.0";"731.0";"750.1";"71";"Wind blowing from the east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"23.11.2019 14:20";"8.0";"730.9";"750.1";"76";"Wind blowing from the east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"23.11.2019 13:50";"8.0";"730.9";"750.1";"76";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"23.11.2019 13:20";"9.0";"731.0";"750.1";"71";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"23.11.2019 12:50";"8.0";"730.9";"750.1";"76";"Wind blowing from the east";"6";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"23.11.2019 12:20";"8.0";"730.9";"750.1";"76";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"23.11.2019 11:50";"7.0";"731.6";"750.8";"81";"Wind blowing from the east-southeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"23.11.2019 11:20";"6.0";"731.5";"750.8";"81";"Wind blowing from the east-southeast";"6";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"23.11.2019 10:50";"6.0";"731.5";"750.8";"81";"Wind blowing from the east-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"23.11.2019 10:20";"5.0";"731.4";"750.8";"87";"Wind blowing from the east-southeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"23.11.2019 09:50";"5.0";"731.4";"750.8";"87";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"23.11.2019 09:20";"4.0";"731.3";"750.8";"87";"Wind blowing from the east-southeast";"6";"11";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"23.11.2019 08:50";"4.0";"731.3";"750.8";"87";"Wind blowing from the east-southeast";"6";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
